MANDT,PERNR,ENDDA,BEGDA,LGART,BETRG,WAESSION
100,00000001,99991231,20230724,0001,4599.28,EUR
100,00000002,99991231,20220918,0002,1520.66,EUR
100,00000003,99991231,20240926,0003,753.86,EUR
100,00000004,99991231,20230314,0004,2430.74,EUR
100,00000005,99991231,20240522,0005,1301.78,EUR
100,00000006,99991231,20240728,0001,985.72,EUR
100,00000007,99991231,20230514,0002,2453.06,EUR
100,00000008,99991231,20240118,0003,596.46,EUR
100,00000009,99991231,20230626,0004,1912.26,EUR
100,00000010,99991231,20220402,0005,4252.49,EUR
100,00000011,99991231,20220306,0001,3090.99,EUR
100,00000012,99991231,20240219,0002,3199.68,EUR
100,00000013,99991231,20230912,0003,2967.65,EUR
100,00000014,99991231,20240717,0004,4482.96,EUR
100,00000015,99991231,20220124,0005,4328.0,EUR
100,00000016,99991231,20220809,0001,4084.83,EUR
100,00000017,99991231,20220410,0002,4471.01,EUR
100,00000018,99991231,20230415,0003,4333.58,EUR
100,00000019,99991231,20240204,0004,2527.43,EUR
100,00000020,99991231,20221013,0005,2352.59,EUR
100,00000021,99991231,20230402,0001,732.37,EUR
100,00000022,99991231,20241220,0002,435.11,EUR
100,00000023,99991231,20241212,0003,2729.24,EUR
100,00000024,99991231,20231227,0004,2213.78,EUR
100,00000025,99991231,20220308,0005,2321.76,EUR
100,00000026,99991231,20230417,0001,995.38,EUR
100,00000027,99991231,20240203,0002,346.58,EUR
100,00000028,99991231,20220605,0003,1335.63,EUR
100,00000029,99991231,20221219,0004,3205.65,EUR
100,00000030,99991231,20231028,0005,1057.42,EUR
100,00000031,99991231,20230821,0001,138.47,EUR
100,00000032,99991231,20221216,0002,4505.11,EUR
100,00000033,99991231,20230923,0003,4453.87,EUR
100,00000034,99991231,20241121,0004,2317.81,EUR
100,00000035,99991231,20241102,0005,4420.42,EUR
100,00000036,99991231,20220612,0001,2206.88,EUR
100,00000037,99991231,20230528,0002,3899.09,EUR
100,00000038,99991231,20240623,0003,3766.88,EUR
100,00000039,99991231,20220924,0004,1812.2,EUR
100,00000040,99991231,20230418,0005,410.64,EUR
100,00000041,99991231,20230714,0001,4545.81,EUR
100,00000042,99991231,20230412,0002,656.37,EUR
100,00000043,99991231,20220122,0003,1229.47,EUR
100,00000044,99991231,20240927,0004,3900.1,EUR
100,00000045,99991231,20220918,0005,2324.58,EUR
100,00000046,99991231,20231223,0001,4743.13,EUR
